Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Priority,Status,Custom field (Story point estimate),Time Spent,Created,Updated,Custom field (Start date),Due date,Labels,Labels,Labels,Labels
Task,HED-384,18995,Spike Swift test,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,Low,To Do,8.0,,10/Feb/26 2:47 PM,02/Mar/26 7:10 AM,,,,,,
Task,HED-394,19229,Cordoba Portal - Local Setup,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,Medium,In Progress,5.0,,12/Feb/26 10:53 AM,04/Mar/26 8:21 AM,,,.NET,react,,
Task,HED-393,19228,Cordoba Portal Documentation,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,Medium,To Do,5.0,,12/Feb/26 10:50 AM,02/Mar/26 7:10 AM,,,cordobaPortal,documentation,,
Task,HED-481,20595,Code Reviews,Samil Vargas,712020:dac1dce4-8aa1-4b7e-8cd4-12205fb8c6e4,Medium,In Progress,,,02/Mar/26 9:58 AM,02/Mar/26 12:01 PM,,,,,,
Task,HED-484,20662,Bug: Date of Birth validation inconsistency in CreditorX Android App,Samil Vargas,712020:dac1dce4-8aa1-4b7e-8cd4-12205fb8c6e4,Medium,IN REVIEW,,,02/Mar/26 2:17 PM,04/Mar/26 3:18 PM,,,,,,
Task,HED-449,19760,Implement Date of Birth input changes in Android app,Samil Vargas,712020:dac1dce4-8aa1-4b7e-8cd4-12205fb8c6e4,Medium,IN REVIEW,5.0,,17/Feb/26 8:36 AM,02/Mar/26 12:19 PM,,,,,,
Story,HED-444,19751, Implement OTP Verification Screen UI,Samil Vargas,712020:dac1dce4-8aa1-4b7e-8cd4-12205fb8c6e4,Medium,IN REVIEW,8.0,,17/Feb/26 8:01 AM,04/Mar/26 3:01 PM,,,creditorx,kotlin,,
Task,HED-462,20062,Unit testing for apps,,,Medium,To Do,,,20/Feb/26 9:07 AM,02/Mar/26 7:10 AM,,,,,,
Task,HED-339,18052,QA and user testing for OTP and Date of Birth UI updates,,,Medium,To Do,,,29/Jan/26 11:37 AM,02/Mar/26 7:10 AM,,,,,,
Bug,HED-488,20762,[CreditorX-Android]: OTP Bug - deleting a number in the otp field sometimes crashes the input field,,,Medium,To Do,,,03/Mar/26 9:54 AM,04/Mar/26 3:18 PM,,,android,bug,creditorx,
Bug,HED-477,20462,[CreditorX]: Android unknown error on dashboard screen,,,Medium,To Do,,,26/Feb/26 9:28 AM,02/Mar/26 7:10 AM,,,android,bug,creditorx,
Story,HED-448,19759, OTP Flow Testing QA & Validation,,,Medium,To Do,5.0,,17/Feb/26 8:13 AM,02/Mar/26 7:10 AM,,,creditorx,kotlin,,
